majAgency,total,num,metroBeltSpendPercent,nonMetroSpend
NA,1144653349,298,0.4570177311471789,0.5429822688528211
Broadcasting Board of Governors,41351417.21,20,0.6883773773808223,0.3116226226191777
Commodity Futures Trading Commission,30936653.64,16,1,0
Consumer Financial Protection Bureau,120498828.89,34,0.8606745990425699,0.13932540095743007
Consumer Product Safety Commission,5036550.17,3,0.7191744840695193,0.28082551593048066
Corporation for National and Community Service,27333787.669999998,12,0.3834239237726544,0.6165760762273456
Court Services and Offender Supervision Agency for the District of Columbia,4768965.9,3,1,0
Defense Nuclear Facilities Safety Board,2407948,2,1,0
Department of Agriculture,3478191723.35,1206,0.17699288393081272,0.8230071160691873
Department of Commerce,3442984964.5099998,722,0.3946370503576603,0.6053629496423397
Department of Defense,239955928306.92,33152,0.14652503183875723,0.8534749681612428
Department of Education,2421124826.39,348,0.2880199081720837,0.7119800918279162
Department of Energy,26775730506.43,980,0.1252617317822409,0.8747382682177591
Department of Health and Human Services,15255670990.37,2763,0.48290283403924705,0.517097165960753
Department of Homeland Security,11427674480.34,2380,0.5286754993296108,0.4713245006703892
Department of Housing and Urban Development,1057042784.21,171,0.3082862486720877,0.6917137513279124
Department of Justice,4101967796.34,1237,0.4971090083909042,0.5028909916090958
Department of Labor,1725215278.87,533,0.28660056505171844,0.7133994349482815
Department of State,3288129515.52,762,0.6519643965091741,0.34803560349082585
Department of the Interior,1268672412.52,432,0.25396832283126564,0.7460316771687343
Department of the Treasury,5184698980.45,1254,0.3501802105572615,0.6498197894427384
Department of Transportation,4146845306.91,906,0.4413918729208399,0.5586081270791601
Department of Veterans Affairs,16535121870.94,2611,0.16973476469880105,0.830265235301199
Environmental Protection Agency,717345631.87,259,0.3015462226153222,0.6984537773846777
Equal Employment Opportunity Commission,14262018.55,9,0,1
Executive Office of the President,93952163.53,29,0.5266502963947232,0.47334970360527684
Federal Communications Commission,53198488.74,20,0.973455820391788,0.026544179608211982
Federal Election Commission,4364766.32,3,1,0
Federal Mediation and Conciliation Service,1000675.2,1,1,0
Federal Trade Commission,32091965.6,8,0.937679105576506,0.06232089442349398
General Services Administration,2176445384.61,571,0.41242596017213917,0.5875740398278608
Government Accountability Office,47378076.3,15,0.9000043507465076,0.09999564925349236
Millennium Challenge Corporation,21272171.55,11,0.7761751263236686,0.22382487367633142
National Aeronautics and Space Administration,10416590954.59,1657,0.18343124877799397,0.816568751222006
National Archives and Records Administration,91820760.91,30,0.6992626318239035,0.30073736817609653
National Labor Relations Board,6973507.55,6,0.845206207599216,0.15479379240078395
National Science Foundation,172143202.32,54,0.5651908989071722,0.4348091010928278
National Transportation Safety Board,2635318.7199999997,2,0.5466606331396606,0.4533393668603394
Nuclear Regulatory Commission,112444126.25,36,0.7375036404802869,0.26249635951971306
Office of Personnel Management,344876623.73,107,0.5595192770185264,0.44048072298147356
Overseas Private Investment Corporation,7141744,4,1,0
Railroad Retirement Board,22738976.91,6,0.16446769636127836,0.8355323036387217
Securities and Exchange Commission,320367454.94,118,0.7954196621430388,0.20458033785696117
Small Business Administration,91471932.8,37,0.612980412282269,0.38701958771773104
Smithsonian Institution,123062794.36,47,0.5051812706132346,0.4948187293867654
Social Security Administration,1004250525.7,162,0.6840125081250928,0.31598749187490716
The Judicial Branch,283195165.58,134,0.08847484436637396,0.911525155633626
U.S. Agency for International Development,1660922149.1,220,0.7790315212974481,0.22096847870255187
U.S. International Trade Commission,6794842.18,4,0.7249538767065227,0.27504612329347733
United States Soldiers' and Airmen's Home,13076880.69,7,0.36610412861387054,0.6338958713861295
